label,point_count,center,number_candidates
214,21600,[1441 4601],"[(1386, 1441, 4575, 4638)]"
215,39403,[1593 5508],"[(1461, 1516, 5497, 5560)]"
216,72759,[1495 5772],"[(1464, 1519, 5755, 5819)]"
217,11579,[1467 4942],"[(1434, 1483, 4908, 4977)]"
219,7541,[1548 4522],"[(1566, 1614, 4500, 4556), (1576, 1606, 4526, 4576)]"
220,40255,[1566 1592],"[(1596, 1650, 1504, 1567)]"
225,6198,[1423 4261],"[(1450, 1496, 4247, 4312)]"
226,58665,[1454 3389],"[(1384, 1438, 3159, 3233), (1448, 1503, 3377, 3451)]"
227,19843,[1561 5310],"[(1453, 1507, 5290, 5367)]"
228,6054,[1388 5196],"[(1349, 1403, 5174, 5237)]"
230,222714,[1848 2600],"[(1615, 1670, 2952, 3029), (1653, 1708, 3184, 3261), (1816, 1871, 2319, 2395), (2003, 2057, 2318, 2395)]"
231,17993,[1387 3408],"[(1363, 1418, 3469, 3543)]"
232,681415,[2331 2485],"[(1447, 1502, 2903, 2980), (1948, 2003, 2118, 2194), (2255, 2310, 1872, 1949), (2366, 2421, 2563, 2639), (2773, 2828, 2560, 2637), (2875, 2930, 2121, 2198)]"
234,7069,[1394 3096],"[(1381, 1435, 3062, 3135)]"
235,65310,[1643 2652],"[(1512, 1567, 2582, 2659)]"
238,16507,[1455 4095],"[(1367, 1418, 4022, 4093)]"
239,5881,[1387 3683],"[(1362, 1416, 3633, 3709)]"
240,4821,[1440 4748],"[(1405, 1460, 4714, 4776)]"
242,125609,[1775 3871],"[(1566, 1621, 3865, 3939), (1689, 1744, 4112, 4187), (1924, 1978, 3699, 3774), (2112, 2165, 4392, 4466)]"
244,21148,[1709 5303],"[(1675, 1730, 5291, 5368)]"
245,12577,[1459 3938],"[(1398, 1453, 3847, 3923)]"
246,1819,[1416 4834],"[(1389, 1443, 4810, 4862)]"
247,5288,[1448 4131],"[(1404, 1459, 4090, 4163)]"
249,39179,[1802 5393],"[(1843, 1898, 5407, 5481)]"
250,47721,[1650 5110],"[(1629, 1684, 4974, 5038)]"
253,2951,[1459 5610],"[(1430, 1485, 5584, 5637)]"
254,6192,[1496 4181],"[(1427, 1480, 4143, 4214)]"
256,35691,[1516 3815],"[(1469, 1524, 3719, 3793)]"
257,142975,[1601  436],"[(1558, 1613, 439, 496)]"
258,25070,[1513 3243],"[(1466, 1521, 3232, 3306)]"
259,9564,[1620 2384],"[(1570, 1616, 2368, 2433)]"
260,21889,[1709 4909],"[(1767, 1822, 4875, 4949)]"
261,11698,[1593 5617],"[(1572, 1627, 5581, 5638)]"
264,5374,[1599 4354],"[(1577, 1624, 4324, 4384)]"
269,14013,[1658 4271],"[(1736, 1777, 4233, 4295)]"
273,5407,[1549 4708],"[(1528, 1582, 4676, 4739)]"
278,3798,[1539 3319],"[(1506, 1561, 3302, 3377)]"
279,38325,[1851 1996],"[(1714, 1757, 2233, 2296)]"
280,12552,[1581 5473],"[(1554, 1609, 5447, 5511)]"
281,2745,[1536 3975],"[(1512, 1564, 3940, 4011)]"
282,33670,[1762 4329],"[(1802, 1856, 4322, 4399)]"
283,9658,[1621 4151],"[(1556, 1606, 4086, 4155)]"
286,83075,[1993 2793],"[(1935, 1990, 2740, 2816), (2303, 2358, 2813, 2890)]"
288,12549,[1660 5072],"[(1704, 1759, 5031, 5106)]"
290,48512,[1731 3447],"[(1566, 1621, 3392, 3469)]"
291,12473,[1652 2191],"[(1671, 1726, 2162, 2225)]"
292,11327,[1745 3606],[]
293,5883,[1682 4814],"[(1681, 1727, 4770, 4837)]"
294,5164,[1677 4880],"[(1673, 1725, 4829, 4888)]"
297,5623,[1661 4607],"[(1641, 1695, 4567, 4643)]"
300,4586,[1650 4887],"[(1625, 1679, 4850, 4914)]"
301,21295,[1686 5791],"[(1656, 1710, 5682, 5745)]"
303,44466,[1706 6115],"[(1679, 1733, 6077, 6141)]"
304,4306,[1665 4228],"[(1642, 1690, 4196, 4265)]"
305,91000,[1829 3930],"[(1777, 1832, 3834, 3911)]"
306,7749,[1731 4551],"[(1743, 1798, 4519, 4594)]"
307,6872,[1673 3549],"[(1660, 1713, 3532, 3607)]"
308,30084,[1725 4686],"[(1683, 1738, 4663, 4726)]"
309,5416,[1715 2213],"[(1644, 1691, 2224, 2291)]"
311,8949,[1679 3329],"[(1651, 1706, 3264, 3339)]"
312,16049,[1795 5599],"[(1879, 1934, 5520, 5594)]"
314,3981,[1695 5522],"[(1665, 1719, 5492, 5556)]"
315,33907,[1819 6092],"[(1797, 1851, 6032, 6095)]"
318,93362,[1937  913],"[(1921, 1975, 852, 915), (1969, 2024, 483, 547)]"
319,5425,[1774 5092],"[(1800, 1845, 5029, 5094)]"
321,11706,[1850 2674],"[(1860, 1915, 2645, 2713)]"
322,58939,[2003 4233],"[(1780, 1835, 3968, 4045), (2298, 2337, 4489, 4548)]"
327,14220,[1884 1523],"[(1779, 1834, 1511, 1575)]"
329,27369,[1806 5736],"[(1738, 1792, 5723, 5786)]"
330,65074,[1826  876],"[(1827, 1881, 711, 774)]"
331,2325,[1724 4031],"[(1701, 1749, 3995, 4066)]"
332,11531,[1850 4652],"[(1847, 1901, 4612, 4686)]"
333,14694,[1836 4992],"[(1780, 1835, 4965, 5039)]"
334,2102,[1756 5884],"[(1735, 1787, 5851, 5917)]"
336,48415,[2040 2971],"[(2058, 2112, 2876, 2952)]"
337,125587,[1992 3424],"[(1752, 1807, 3369, 3445)]"
338,3229,[1759 3248],"[(1733, 1782, 3210, 3277)]"
