label,point_count,center,number_candidates
422,133078,[1826  623],"[(1626, 1681, 1163, 1238), (1857, 1911, 130, 204)]"
423,4419,[1551 6852],"[(1498, 1537, 6844, 6898)]"
424,6886,[1606 1887],"[(1559, 1614, 1862, 1924)]"
425,3058,[1526 7603],"[(1492, 1547, 7574, 7629)]"
426,720,[1496  426],"[(1474, 1518, 407, 448)]"
427,1229,[1521  104],"[(1492, 1538, 84, 120)]"
428,22226,[1547 1295],"[(1522, 1577, 1261, 1338)]"
430,951,[1500 5648],"[(1478, 1518, 5623, 5676)]"
431,2401,[1523  159],"[(1487, 1536, 130, 194)]"
432,3580,[1563  200],"[(1527, 1581, 168, 231)]"
435,22157,[1624 6011],"[(1593, 1648, 6005, 6079)]"
436,18644,[1656 7849],"[(1653, 1708, 7808, 7884)]"
438,1355,[1536 7463],"[(1511, 1560, 7442, 7482)]"
441,233166,[1692 5148],"[(1705, 1760, 4795, 4869)]"
442,3411,[1572 5633],"[(1533, 1587, 5613, 5659)]"
443,21358,[1749 5659],"[(1697, 1752, 5622, 5697)]"
444,15122,[1742 5569],"[(1777, 1832, 5550, 5625)]"
446,878,[1535 3108],"[(1513, 1558, 3086, 3129)]"
448,4323,[1553 6343],"[(1519, 1570, 6281, 6352)]"
449,2908,[1573  106],"[(1564, 1612, 85, 147)]"
450,68141,[2097 2353],"[(1908, 1963, 2323, 2399), (2287, 2342, 2322, 2399)]"
451,18766,[1568 1023],"[(1533, 1588, 1017, 1093)]"
452,29317,[1713 7327],"[(1792, 1847, 7325, 7401)]"
457,2250,[1614 2324],"[(1598, 1653, 2300, 2345)]"
458,18963,[1617 2212],"[(1575, 1630, 2231, 2294)]"
459,2803,[1655 2713],"[(1651, 1698, 2696, 2734)]"
460,2002,[1593 6426],"[(1567, 1619, 6391, 6461)]"
462,5853,[1675 7580],"[(1663, 1718, 7538, 7614)]"
464,1502,[1639 1914],"[(1620, 1666, 1898, 1934)]"
465,3829,[1622 6529],"[(1600, 1655, 6486, 6560)]"
469,202256,[1747  582],"[(1724, 1779, 410, 486), (1731, 1786, 724, 801)]"
470,7959,[1692 3080],"[(1669, 1723, 3055, 3112)]"
472,3134,[1632 6609],"[(1605, 1659, 6573, 6645)]"
473,5001,[1666 7615],"[(1648, 1702, 7580, 7648)]"
475,1913,[1618 3209],"[(1599, 1634, 3183, 3235)]"
476,2664,[1666 7541],"[(1618, 1666, 7515, 7569)]"
477,3095,[1689 2796],"[(1681, 1731, 2776, 2824)]"
478,4145,[1652 6187],"[(1620, 1674, 6149, 6224)]"
479,101034,[1914 3682],"[(1687, 1742, 3663, 3739)]"
480,3196,[1697 7226],"[(1701, 1752, 7197, 7253)]"
484,3433,[1654 6855],"[(1640, 1685, 6806, 6872)]"
486,33160,[1711 6840],"[(1633, 1688, 6958, 7030)]"
487,4414,[1722 1870],"[(1737, 1788, 1841, 1900), (1741, 1783, 1859, 1902)]"
488,14989,[1736 3221],"[(1684, 1739, 3192, 3267)]"
489,14764,[1723 3297],"[(1671, 1726, 3271, 3345)]"
